,vehicle_speed,throttle_percentage,acc_calculated
541,6.48484,0.15,0.040833333
542,6.4926,0.15,0.041055556
543,6.49962,0.15,0.041277778
544,6.50746,0.15,0.041472222
545,6.51455,0.15,0.037527778
546,6.52097,0.15,0.038083333
547,6.52826,0.15,0.038611111
548,6.53487,0.15,0.038027778
549,6.54195,0.15,0.0375
550,6.54837,0.15,0.038083333
551,6.55566,0.15,0.038555556
552,6.56225,0.15,0.039027778
553,6.56971,0.15,0.039444444
554,6.57645,0.15,0.038777778
555,6.58367,0.15,0.038194444
556,6.5902,0.15,0.038694444
557,6.5976,0.15,0.039166667
558,6.6043,0.15,0.035416667
559,6.61035,0.15,0.036166667
560,6.61732,0.15,0.036861111
561,6.62362,0.15,0.036444444
562,6.63044,0.15,0.036083333
563,6.63661,0.15,0.036777778
564,6.64368,0.15,0.037416667
565,6.65008,0.15,0.036972222
566,6.65699,0.15,0.036527778
567,6.66323,0.15,0.037166667
568,6.67037,0.15,0.037777778
569,6.67683,0.15,0.037277778
570,6.68379,0.15,0.036833333
571,6.69009,0.15,0.037472222
572,6.69728,0.15,0.038027778
573,6.70378,0.15,0.037472222
574,6.71077,0.15,0.037027778
575,6.71711,0.15,0.033527778
576,6.72284,0.15,0.033416667
577,6.72914,0.15,0.033333333
578,6.73484,0.15,0.034277778
579,6.74148,0.15,0.035138889
580,6.74749,0.15,0.034916667
581,6.75405,0.15,0.034694444
582,6.75998,0.15,0.034472222
583,6.76646,0.15,0.034305556
584,6.77233,0.15,0.035166667
585,6.77912,0.15,0.035944444
586,6.78527,0.15,0.032527778
587,6.79083,0.15,0.032527778
588,6.79698,0.15,0.032555556
589,6.80255,0.15,0.032527778
590,6.80869,0.15,0.032527778
591,6.81426,0.15,0.032555556
592,6.82041,0.15,0.032527778
593,6.82597,0.15,0.032527778
594,6.83212,0.15,0.032555556
595,6.83769,0.15,0.032555556
596,6.84384,0.15,0.032527778
597,6.8494,0.15,0.032527778
